Alpha,Energy,Energy2,TimeElapsed
0,24.686940127226976,609.4450128452894,2.4165535s
0.01,436.7879637194417,190783.7252501763,2.4416129s
0.02,503.6589438309118,253672.3317008696,2.4573155s
0.03,1674.9578484812257,2805483.7941888566,2.4743779s
0.04,838.3600551786483,702847.5821191462,2.4831203s
0.05,976.8152906452672,954168.1120383978,2.4914363s
0.06,1128.6028372599214,1273744.3642711446,2.517138s
0.07,1388.483298845449,1927885.8711727408,2.5271655s
0.08,1780.271310301636,3169365.938283104,2.5448608s
0.09,1210.5524146414007,1465437.1485941256,2.564326s
0.1,1425.2186248684677,2031248.128671966,2.5760641s
0.11,1467.6479493883853,2153990.5033439323,2.5900213s
0.12,1451.343554732872,2106398.113864649,2.6064405s
0.13,917.7106690709583,842192.8721266659,2.6249182s
0.14,1150.2773100477818,1323137.8900107609,2.6398898s
0.15,914.8721894636727,836991.1230540543,2.6600057s
0.16,1058.086287242751,1119546.5912511495,2.6719254s
0.17,996.4705220458941,992953.5013064167,2.6839529s
0.18,920.7325761322702,847748.4767511667,2.7017608s
0.19,864.681836121852,747674.6777190574,2.7267915s
0.2,788.3215679851024,621450.8945504904,2.7433746s
0.21,741.8138290669715,550287.756995002,2.7591051s
0.22,700.1972027840404,490276.1227865946,2.7685323s
0.23,657.4921933111211,432295.98426506866,2.781174s
0.24,605.2107185150105,366280.0138054553,2.7938483s
0.25,564.9917485352329,319215.67591289984,2.8012415s
0.26,527.0631944792358,277795.6109746567,2.8140643s
0.27,518.6627512407789,269011.0495246541,2.8336731s
0.28,466.35839992549336,217490.1571810664,2.8557749s
0.29,430.2496277804826,185114.74220524385,2.8653029s
0.3,406.70761171620245,165411.0814278973,2.8731037s
0.31,373.15045056780264,139241.25875895412,2.8851227s
0.32,349.4012321029549,122081.22099506296,2.9021837s
0.33,321.5163692243106,103372.77567918322,2.9149148s
0.34,298.9447913258294,89367.98826084367,2.9239148s
0.35000000000000003,278.0498156567397,77311.69998674694,2.9398604s
0.36,252.85155732548364,63933.91004192234,2.9497687s
0.37,232.90408619384533,54244.313365790134,2.9645627s
0.38,210.58775377169707,44347.20203860891,2.978138s
0.39,191.12428622345462,36528.492784425005,2.9945006s
0.4,169.70180328286943,28798.702037457715,3.0139123s
0.41000000000000003,151.51765407344402,22957.599495919847,3.0240931s
0.42,132.30279188495157,17504.028740552807,3.0342784s
0.43,121.96096873805999,14874.477895526046,3.0470275s
0.44,96.97006600918003,9403.193701824732,3.0631934s
0.45,83.2150439092271,6924.743532814595,3.0779036s
0.46,63.71981074714087,4060.214281651449,3.095748s
0.47000000000000003,48.061012995640624,2309.860970167137,3.105714s
0.48,32.34133070295459,1045.9616716378735,3.1197128s
0.49,16.692692058475398,278.6459681590876,3.1298594s
0.5,1.5,2.25,3.1511481s
0.51,-13.44177913480245,180.6814263088105,3.1584854s
0.52,-27.860186127362102,776.1899710512597,3.17264s
0.53,-45.21458282017177,2044.3584996021723,3.189815s
0.54,-55.930404449380745,3128.2101418713096,3.2062769s
0.55,-69.92689065952263,4889.770037308833,3.216576s
0.56,-83.59208365375528,6987.636449576421,3.2261595s
0.5700000000000001,-102.13909520676346,10432.39476965629,3.2444457s
0.58,-112.82984088848691,12730.572994921273,3.2684337s
0.59,-125.34662398501834,15711.776144441576,3.2817586s
0.6,-137.781332383895,18983.695553481353,3.2922154s
0.61,-147.6598504264159,21803.431427951513,3.3138918s
0.62,-162.5289603022944,26415.662936944787,3.3344405s
0.63,-173.96144209137373,30262.583334510375,3.3515501s
0.64,-185.32832794418613,34346.5891385878,3.3618074s
0.65,-209.0922746851656,43719.579333016736,3.3781034s
0.66,-213.17617391152345,45444.08112355609,3.4019017s
0.67,-227.04513974313318,51549.495480978876,3.4115222s
0.68,-233.24594464294873,54403.6706923815,3.4306458s
0.6900000000000001,-245.2673442022962,60156.07013204763,3.4442447s
0.7000000000000001,-263.4489214409163,69405.33420838209,3.4793114s
0.71,-280.9099536688428,78910.4020702314,3.4954752s
0.72,-282.58309792211435,79853.20723125926,3.5182444s
0.73,-288.0884935408848,82994.98011065644,3.5345051s
0.74,-312.53004202164686,97675.02716605236,3.5582207s
0.75,-322.04131847258054,103710.61080355804,3.578387s
0.76,-325.06623809044254,105668.05914627228,3.594092s
0.77,-334.76634877789235,112068.50827408147,3.607384s
0.78,-342.21360140364044,117110.14898564969,3.6199825s
0.79,-366.95853518597556,134658.56654583686,3.6372985s
0.8,-387.2940363932324,149996.6706257624,3.6540594s
0.81,-378.7770844936877,143472.07973753824,3.6752905s
0.8200000000000001,-392.84889184341733,154330.251822601,3.6918109s
0.8300000000000001,-408.5789246985672,166936.73770783746,3.7061121s
0.84,-418.38150989700245,175043.08782369556,3.7299071s
0.85,-418.95834272737244,175526.09294086648,3.7467724s
0.86,-423.3723202679283,179244.12156904922,3.7712409s
0.87,-463.0504181450687,214415.68974432297,3.8004814s
0.88,-454.0753574287054,206184.43022400656,3.814574s
0.89,-461.4857092392721,212969.059832074,3.8509527s
0.9,-470.8633163246403,221712.26266023828,3.9063385s
