Alpha,Energy,Energy2,TimeElapsed
0,15.405563016188854,245.1294873716167,250.635736s
0.01,19.566088697789212,388.4836425916731,257.9269319s
0.02,20.39122433754289,423.3984041110233,266.8823824s
0.03,24.093075173481473,595.4924228237851,274.7406841s
0.04,22.752407139708843,524.2676173867668,282.8497853s
0.05,25.733687616927007,665.626680176758,290.6384109s
0.06,26.38455909077977,701.5212585138353,298.7172303s
0.07,28.733467073919492,825.5613127970478,305.5976475s
0.08,33.97969427887604,1155.629128917537,312.492751s
0.09,33.11122196814312,1093.882677391577,319.5924762s
0.1,32.97254094614757,1080.4631166704155,326.4456476s
0.11,38.78606206177747,1506.0066347503134,334.4135952s
0.12,39.60085829159488,1564.2275371049025,342.2282937s
0.13,39.53287289307529,1553.6334419756154,348.9272254s
0.14,42.44925815688899,1793.2131768752147,355.8479626s
0.15,43.14831977647741,1850.243092453569,363.4490197s
0.16,44.417935912740944,1962.1837496762657,369.925997s
0.17,45.68845999149761,2073.1566437934193,375.8493024s
0.18,48.81403651234046,2369.1247198850697,381.4906143s
0.19,49.788785637608264,2461.80528180609,386.8646381s
0.2,53.837881148138784,2879.855132180209,393.5640985s
0.21,53.413970176043726,2831.720392631411,400.9621823s
0.22,55.268776571235925,3032.7648251954106,407.1375521s
0.23,58.48261740598424,3396.7713716364515,412.900074s
0.24,60.268746710117085,3606.3608279432074,419.1225454s
0.25,60.476821823275195,3630.366531725856,427.7800337s
0.26,62.688840843881934,3900.8298317278472,436.7958151s
0.27,63.67432910737809,4023.222472592047,442.3580469s
0.28,64.7770154357879,4164.39366564277,447.8562183s
0.29,67.40966689550508,4509.036802935378,455.6693415s
0.3,69.57024136768251,4802.874031375164,464.6124337s
0.31,71.32722441134649,5047.847617512359,472.4525862s
0.32,72.01081665650884,5144.9010283994385,479.0882475s
0.33,74.40682888882355,5493.364998377045,484.280147s
0.34,75.68149549262189,5682.698240559156,489.3021687s
0.35,78.33895180907507,6089.515288652838,496.1878156s
0.36,79.19022354647831,6221.879982260959,503.6982858s
0.37,80.5378119869202,6435.373186358431,509.011238s
0.38,82.07371768221212,6683.683623076585,515.224679s
0.39,83.04335233366498,6841.807410854311,521.4277511s
0.4,84.92665098124574,7155.644126100989,527.8208331s
0.41,86.65912859595626,7450.329599599471,533.2091442s
0.42,88.62761679315531,7793.039571340047,539.6662212s
0.43,90.3680543915802,8102.047735229772,546.3352925s
0.44,91.42646138951619,8292.50805592113,553.0421036s
0.45,92.6259578780525,8511.526839630704,560.643869s
0.46,94.68166895909631,8893.55404410856,570.8716981s
0.47,96.21444885469029,9183.78075832108,577.1860846s
0.48,97.76046356490653,9481.263697560462,581.6472374s
0.49,99.31075905737168,9784.357518448434,586.4633747s
0.5,100.80000142797165,10080.000285594557,591.3830273s
0.51,102.31473496481865,10385.226984204068,595.8205456s
0.52,103.79982979750046,10688.89858503997,600.4112046s
0.53,105.43566863793868,11028.463191279545,606.158178s
0.54,106.92443872930261,11342.13793543098,611.7172621s
0.55,108.51861510767483,11682.861686474209,616.0826501s
0.56,110.07380952112484,12020.188913745254,621.1506371s
0.57,110.77598469836367,12174.155973249708,625.9411869s
0.58,112.37105953929186,12527.345870198025,630.9914845s
0.59,114.38724319237646,12980.711001255988,635.5151177s
0.6,116.00953573451066,13351.689666479384,640.4378108s
0.61,116.57691588611469,13482.550549463876,644.882132s
0.62,118.9765441604944,14043.663841667789,649.7090893s
0.63,119.30027753590444,14120.373513858047,654.5934537s
0.64,120.41356061026748,14385.694506623724,659.3828608s
0.65,122.75268765732204,14948.996825778335,663.9794447s
0.66,123.27752525029354,15078.378473040259,668.9988881s
0.67,125.55832828532392,15640.534430648455,673.3704937s
0.68,126.77480257261278,15945.599247232205,678.049948s
0.69,127.2234401487947,16058.07956715323,683.0944794s
0.7,131.3610865129623,17120.642517129934,688.0479409s
0.71,132.59241792186774,17442.105214233252,692.5817816s
0.72,133.21607366565553,17609.461574296038,697.235051s
0.73,134.89937422896315,18053.612929176074,701.7950092s
0.74,135.9768554802449,18344.731507407883,706.4129345s
0.75,136.82303857789734,18573.636844847104,710.5898687s
0.76,137.5944570546388,18784.144554190912,714.9181579s
0.77,138.2751162470096,18973.175922459835,719.8574998s
0.78,139.95600140857135,19437.40564721038,724.2573936s
0.79,143.3659152065396,20392.077956334284,729.2035086s
0.8,146.66124983332895,21341.786537858236,733.8619895s
0.81,145.98552270192775,21145.985648622183,738.4317064s
0.82,144.32190204144874,20668.768057472604,742.1984628s
0.83,147.02912847744133,21451.60724341847,746.5487981s
0.84,148.57956361262833,21905.786822095954,751.1615271s
0.85,153.37275643894378,23338.208306706794,755.1871096s
0.86,150.069509692656,22347.4009146328,759.6944261s
0.87,153.84056177493378,23482.865774121692,764.6723836s
0.88,155.65780060592425,24038.096333790487,768.8372364s
0.89,154.6742668303474,23742.191140935178,773.4136781s
