Alpha,Energy,Energy2,TimeElapsed
0,7.208200438328628,83.09572869513791,231.3108503s
0.01,2.535083178947868,8.00414673854538,231.3239769s
0.02,2.098591950546525,5.806568892147422,231.3375915s
0.03,14.082979557292381,219.9689850113127,231.3475682s
0.04,1.2154966742646593,2.1105330452894413,231.3544172s
0.05,1.6219455326786167,3.625158068960001,231.3678898s
0.06,3.6663530044438613,15.616826553045417,231.3771896s
0.07,6.518927506419732,65.66388314463585,231.3860308s
0.08,1.8628109117537988,4.290550277889094,231.3994667s
0.09,5.291258733355978,41.06759929732523,231.4050504s
0.1,1.9664045777350825,6.35228004368479,231.4133656s
0.11,1.798617820839759,6.271606639119326,231.4233816s
0.12,4.5360634516134715,23.64744905233805,231.43036s
0.13,1.3916265953567002,3.0975725386342554,231.4385053s
0.14,0.793949863227482,0.9167938642253263,231.4465164s
0.15,1.039115454389951,1.450802767350824,231.4548629s
0.16,1.5920576443087362,3.158592472842574,231.460946s
0.17,1.6898047384242252,3.578411273912543,231.4703444s
0.18,1.1371805002825524,2.02236335288853,231.4823519s
0.19,1.7105455883382479,4.413835740877731,231.4897879s
0.2,3.284092491683881,15.910417529156154,231.4970485s
0.21,1.697929696687711,4.262218320252818,231.511062s
0.22,1.8543964205010313,4.904224664248814,231.5162983s
0.23,1.096823983119399,1.3716987050614302,231.5243603s
0.24,0.815962014589321,0.7335462528509736,231.5369496s
0.25,1.0015838388633647,1.1619575842273173,231.5429014s
0.26,1.2218077856945961,1.8715213251865515,231.5553686s
0.27,1.2621776119355799,2.5232788306576155,231.5615803s
0.28,1.3626318999348503,2.266149183377922,231.5713988s
0.29,1.0305208481743457,1.1969893773372575,231.577232s
0.3,1.0790487436981093,1.2891614280076065,231.5872034s
0.31,1.12897530312693,1.5356786976714023,231.5944123s
0.32,1.068413757859752,1.254281713454177,231.6014846s
0.33,1.2724244523452595,1.9359336240277525,231.6131242s
0.34,0.930796887354895,0.8915807938436779,231.6202211s
0.35,1.0038919474558983,1.0398303703950342,231.6289741s
0.36,1.24512534442504,1.7042642998338242,231.6388907s
0.37,0.9294172099723432,0.8831263475926711,231.6487774s
0.38,1.0944830535228876,1.2280115141200523,231.6547057s
0.39,1.1431880232258862,1.3611848436645577,231.6666789s
0.4,1.0260540169429413,1.0686243074342334,231.6819429s
0.41,1.1523307733581651,1.3794232526242034,231.6872978s
0.42,0.9245025759143509,0.8526908456479174,231.6958334s
0.43,1.0829819461414674,1.1863327122104335,231.7044876s
0.44,1.0358287844954388,1.0815172714150991,231.7140408s
0.45,0.9947386066922108,0.9853982713481552,231.7209823s
0.46,1.0456224629893707,1.0911722808598157,231.726868s
0.47,1.01132273033687,1.0181474519710783,231.7365239s
0.48,1.0000637753831667,0.9931271224699759,231.7426778s
0.49,1.0152442919409437,1.0229047375871632,231.752374s
0.5,1.0079999981881251,1.00799999637625,231.7603407s
0.51,0.9972573170507929,0.9872128681952557,231.7734492s
0.52,1.0238971999153048,1.0405373461997316,231.7845467s
0.53,1.0036406831321432,1.002794112598463,231.7932688s
0.54,1.0177450833476964,1.035055021133095,231.8059805s
0.55,1.059968206950061,1.1163574471018014,231.8132063s
0.56,0.9962405081988751,0.9955803078575154,231.8240441s
0.57,0.9919831634666477,0.9966554136819157,231.8331944s
0.58,1.0815339922294631,1.1655920918486928,231.8402181s
0.59,0.9515725004553932,0.9818263333174904,231.8524724s
0.6,1.063462368424047,1.1406967612709105,231.863935s
0.61,1.0462812434199964,1.1142304861058352,231.8737633s
0.62,1.0184643511627698,1.0730025857223393,231.884894s
0.63,1.0968177831217583,1.2195190744474576,231.8904903s
0.64,1.0624348482144719,1.1595668993425459,231.9069585s
0.65,0.9555050818229175,0.958150076042338,231.9124753s
0.66,1.0669940921436414,1.1729848199194806,231.9275097s
0.67,1.0461578780485028,1.1695472176519635,231.9396159s
0.68,1.0441191650907335,1.1631849491777662,231.9502725s
0.69,1.1708619065737964,1.3955048932145167,231.9612156s
0.7,1.014824329117481,1.1299952877982502,231.9770179s
0.71,1.2007019325058768,1.4673975838192976,231.9982537s
0.72,0.9620540295908996,1.203313764271154,232.004726s
0.73,0.9151148840030664,0.9730536561237918,232.0178017s
0.74,1.2453263592193322,1.5982040183170731,232.0248427s
0.75,1.25721756589941,1.6136174723912378,232.0525912s
0.76,1.156901164891225,1.4054502746233675,232.0735213s
0.77,1.1096833054389217,1.3584693272621462,232.0938409s
0.78,1.2067946744443347,1.6220659660854508,232.1102988s
0.79,1.2062414795050396,1.5450880858951495,232.1237948s
0.8,1.08067028556095,1.4421209471074226,232.1295977s
0.81,1.2021223258955687,1.57468595816985,232.1460084s
0.82,1.103212226987282,1.3526155123520631,232.1519862s
0.83,1.2329954702840216,1.6285115586668388,232.1621616s
0.84,1.2833115438027114,1.871558582683405,232.1689864s
0.85,1.0160122046730562,1.3090119573512309,232.1833847s
0.86,1.3277277372603586,1.8896081871563353,232.1887071s
0.87,1.1968295211046158,1.8273141560575243,232.2003481s
0.88,1.3660755065581724,2.0674262480602077,232.2072141s
0.89,1.0078894502086906,1.395492628394453,232.2166103s
