Alpha,Energy,Energy2,TimeElapsed
0,21.318278234930105,594.0794931983173,59.0557ms
0.01,45.89062296933786,2487.177275674682,71.4827ms
0.02,199.4128883125398,48798.763162006304,80.7437ms
0.03,405.93422388013204,215820.61055116245,86.783ms
0.04,396.3012269606942,203869.94446604254,91.7686ms
0.05,675.7472875108566,581041.4136745005,101.3598ms
0.06,672.479727827985,542975.6100315982,114.302ms
0.07,521.9842153006906,333134.745251618,132.8172ms
0.08,603.9694409310307,424358.9770343718,143.7895ms
0.09,522.1054650637536,352479.541359418,150.7654ms
0.1,810.0170571463017,807216.9933143132,158.8418ms
0.11,971.8900427808358,1125988.892322902,183.382ms
0.12,1017.7492752955578,1187827.0206837968,190.1345ms
0.13,1012.3295080711285,1138833.991819621,199.9104ms
0.14,902.1525585433913,936724.2240103624,206.8139ms
0.15,793.0105570465396,745093.1285223989,214.4536ms
0.16,350.7050763336529,188788.3352018292,221.4571ms
0.17,820.9458528883416,747878.0414252597,227.6845ms
0.18,733.7450831894241,616560.612457236,234.5481ms
0.19,758.6476526533456,636097.5531912788,246.4393ms
0.2,377.86081917424826,216893.07251313864,256.3656ms
0.21,696.6985651403143,539917.7840292507,270.2332ms
0.22,753.4946185453192,588189.997091068,279.5459ms
0.23,722.1241057294815,538815.6834424894,288.2364ms
0.24,666.1328012877103,467874.64436347835,293.1078ms
0.25,597.7967663187785,388352.9344722541,310.1933ms
0.26,675.4986317554026,462553.4347746357,322.3391ms
0.27,424.80501660807704,229664.5703507552,335.3008ms
0.28,584.3808364125102,358300.20987567713,341.2132ms
0.29,496.6488906134449,272264.0166015484,352.0573ms
0.3,579.819286827991,344520.9533099284,358.2352ms
0.31,474.1992475553981,246798.70936315643,372.5345ms
0.32,525.4066653575397,286186.6276270806,387.26ms
0.33,476.52963479632126,242410.78942672533,396.3353ms
0.34,410.2326496564561,187863.72449151875,403.5394ms
0.35000000000000003,549.0905892000457,301941.65465915663,411.424ms
0.36,457.5684382253766,217894.44208344145,421.9065ms
0.37,495.2332992048765,246378.37021936857,429.6468ms
0.38,472.98168690362246,229400.46709551624,436.0353ms
0.39,416.7787847084381,182980.3274963238,444.4197ms
0.4,449.74901214702885,203737.75952879005,452.0688ms
0.41000000000000003,437.3147901999718,193008.71536313056,458.0048ms
0.42,438.0213844144823,193773.17197860603,464.381ms
0.43,447.84048544354465,200561.10040231043,471.3172ms
0.44,392.21240064055377,159191.14757845536,483.3233ms
0.45,410.7173056300811,168903.9536288112,490.7082ms
0.46,401.37791579804224,161747.12126233726,505.8538ms
0.47000000000000003,396.6044892268334,157295.12087487805,510.7936ms
0.48,385.00340949028464,148567.6013970307,535.9435ms
0.49,391.1444500669315,152993.98081816323,541.7181ms
0.5,364.15748091123766,133349.8921168054,557.7797ms
0.51,371.31284990863554,139073.7610154291,572.7142ms
0.52,370.4951900608673,137266.68585823852,578.3429ms
0.53,352.7533961163057,124434.9584715869,588.511ms
0.54,356.9917222762196,127446.50082238762,598.5381ms
0.55,341.50087687093907,116669.26258809568,607.6331ms
0.56,331.33411858962825,109842.06065848676,617.124ms
0.5700000000000001,319.02627761658215,103176.54148890488,631.6484ms
0.58,330.9387198834826,109521.20744820034,637.1843ms
0.59,325.76592892381433,106123.44044759512,649.489ms
0.6,310.5771690107073,96458.1779107059,660.54ms
0.61,309.77063263298913,96030.91636959923,671.9513ms
0.62,301.5152653269622,90925.16264115289,683.8052ms
0.63,297.9495875013311,89343.27341301754,688.8489ms
0.64,312.3301827808362,97550.1430759107,693.9931ms
0.65,290.1045083780043,84160.6257812431,699.9564ms
0.66,277.3631781161252,77336.5966949427,715.581ms
0.67,279.9333318785141,78362.67029660646,722.9196ms
0.68,281.94663624201803,79493.90568818898,740.4479ms
0.6900000000000001,270.1707355741936,72992.22636070102,746.1662ms
0.7000000000000001,267.0786479594097,71331.00419582611,754.3638ms
0.71,281.70313614021615,79356.65691123345,761.5682ms
0.72,266.7899287037402,71176.86605774697,773.0168ms
0.73,257.67950252904757,66398.72602361719,782.8857ms
0.74,258.0488431890119,66589.20547118761,789.297ms
0.75,249.74885781498978,62374.49197989231,797.1864ms
0.76,251.5918867931964,63315.21805840608,803.8796ms
0.77,253.4346807086346,64333.97195612281,811.8271ms
0.78,240.13703822484163,57665.797127398866,819.4254ms
0.79,240.86713633173613,58016.97736465092,827.9851ms
0.8,242.78493351839356,58958.309962259045,836.8496ms
0.81,231.08239492704243,53399.07324521795,841.7212ms
0.8200000000000001,235.14288692567445,55292.17727174057,857.108ms
0.8300000000000001,226.3024694090553,51212.8076606362,862.2827ms
0.84,228.70485954109006,52314.44828316886,868.4213ms
0.85,232.64982354099635,54125.94039365676,875.1633ms
0.86,227.15152516317255,51597.81538395555,881.9688ms
0.87,220.8303667371437,48766.05087326119,891.3857ms
0.88,215.11472078944,46274.34310031871,898.0687ms
0.89,212.4657581463946,45141.69838472243,904.214ms
0.9,209.81753277244212,44023.397058715025,913.298ms
